year,GM0014,GM0037,GM0050,GM0060,GM0085,GM0086,GM0088,GM0093,GM0096,GM0098,GM0106,GM0109,GM0114,GM0118,GM0119,GM0148,GM0149,GM0150,GM0159,GM0163,GM0164,GM0165,GM0169,GM0173,GM0174,GM0175,GM0178,GM0183,GM0189,GM0192,GM0193,GM0197,GM0200,GM0202,GM0207,GM0213,GM0214,GM0216,GM0219,GM0225,GM0228,GM0230,GM0232,GM0241,GM0243,GM0248,GM0251,GM0255,GM0262,GM0263,GM0266,GM0267,GM0269,GM0273,GM0275,GM0277,GM0279,GM0281,GM0285,GM0289,GM0294,GM0295,GM0303,GM0304,GM0306,GM0307,GM0310,GM0312,GM0313,GM0318,GM0321,GM0327,GM0340,GM0342,GM0344,GM0345,GM0347,GM0352,GM0355,GM0356,GM0363,GM0373,GM0376,GM0383,GM0384,GM0396,GM0397,GM0402,GM0417,GM0418,GM0420,GM0482,GM0491,GM0511,GM0512,GM0518,GM0537,GM0559,GM0571,GM0588,GM0590,GM0597,GM0620,GM0629,GM0632,GM0643,GM0653,GM0707,GM0716,GM0718,GM0737,GM0748,GM0758,GM0762,GM0770,GM0772,GM0781,GM0784,GM0788,GM0794,GM0797,GM0808,GM0809,GM0823,GM0826,GM0840,GM0844,GM0847,GM0855,GM0860,GM0866,GM0867,GM0870,GM0873,GM0888,GM0893,GM0898,GM0925,GM0935,GM0938,GM0941,GM0944,GM0957,GM0965,GM0974,GM0975,GM0976,GM0983,GM0984,GM0986,GM1507,GM1509,GM1581,GM1640,GM1641,GM1655,GM1659,GM1666,GM1671,GM1674,GM1676,GM1680,GM1681,GM1690,GM1699,GM1701,GM1706,GM1711,GM1719,GM1721,GM1724,GM1730,GM1731,GM1734,GM1735,GM1742,GM1771,GM1773,GM1774,GM1859,GM1876,GM1883,GM1892,GM1894,GM1896,GM1903,GM1921,GM1924,GM1927,GM1931,GM1937,GM1940,GM1945,GM1948,GM1949,GM1955,GM1959,GM1960,GM1961,GM1963,GM1966,GM1978
2000,48.7422,47.9623,51.6209,31.8418,50.7775,51.1828,28.5437,33.5795,28.9467,44.6697,34.4374,35.9625,31.4429,31.3408,32.063,43.6512,42.4921,40.7919,38.0787,37.5432,46.0687,41.1422,28.1401,45.0451,38.6606,37.6539,30.5299,36.6621,38.0496,40.354,41.5148,32.3141,40.9099,48.3481,25.3244,34.7651,36.3991,37.5329,36.0451,33.4968,31.1324,40.7002,30.8051,31.8247,46.3095,27.9141,25.9426,26.694,35.5954,33.2529,30.5918,40.5238,39.7923,42.9838,35.7943,32.3633,35.4366,30.6288,42.434,31.3301,38.1845,31.4361,51.9737,27.5644,39.9927,37.9836,53.7424,56.1158,38.5557,44.9526,51.7684,54.0057,36.5129,52.58,38.8277,54.0652,38.8637,52.1069,50.9092,51.8305,33.387,46.498,47.5339,42.1974,50.1184,41.9872,48.5989,42.9891,45.3975,41.8864,46.4711,43.3098,47.0318,40.9544,41.5456,28.9718,43.6426,45.8065,36.4927,42.8998,46.1235,42.5623,41.5686,41.1702,51.6916,37.4042,35.8763,40.6055,49.6695,,47.0721,36.1455,39.2849,39.628,29.6508,37.1703,37.6028,52.8668,37.2017,45.9602,43.8038,44.2982,43.631,43.4796,40.4165,29.9502,35.2675,52.3766,34.33,38.0929,34.7289,48.4794,35.0531,44.337,28.3827,31.6797,40.3792,40.672,33.1838,37.3648,30.0719,39.1576,36.6134,45.9439,35.4199,41.3918,42.5162,50.2614,37.1528,41.7209,,,,,,46.6442,47.5478,41.1537,34.6697,39.1486,48.163,31.6757,38.3735,37.9803,40.0231,32.6115,51.7826,,50.0617,51.3987,38.2825,34.6031,36.1386,,,,,,,,,,,,,,,,,,48.1741,,,,,,,,,,,
2001,49.3316,47.8743,51.4047,31.9406,50.773,51.154,28.8327,33.3953,29.0578,44.3398,34.5111,35.7721,31.4214,31.3095,31.7896,43.6462,42.9215,40.5301,,37.3794,46.4872,,,45.2388,38.6624,37.557,30.5335,36.558,37.6608,,43.1211,32.2631,39.5239,48.292,25.1823,34.6586,36.456,37.4998,36.1182,33.5742,31.3537,40.6689,30.8058,31.9341,46.1039,27.7974,,,35.4896,33.2629,30.5363,40.5366,39.7937,42.7818,36.1645,32.2703,35.4441,30.6876,42.4341,32.0265,38.3924,31.3029,51.9918,27.495,39.9975,38.1143,53.6981,55.9671,38.5578,,51.5964,54.0045,36.5794,52.5189,38.7533,54.0757,,51.9895,50.8041,51.6602,34.322,47.2179,47.9824,41.851,50.6964,41.384,48.3244,43.4121,45.8621,41.5863,46.6265,43.5834,47.2053,40.941,41.7721,28.5957,43.8597,45.7976,36.8652,43.0744,46.3817,42.816,41.6077,41.3029,51.4704,37.7907,35.7767,40.8982,49.8394,,47.2108,36.1101,39.1111,39.5847,29.6556,37.2418,37.6271,52.8837,36.6123,45.7962,43.8717,44.3898,43.6294,43.6273,40.3912,29.819,35.3073,52.4336,34.0517,38.1778,34.8426,48.7121,35.4661,44.3311,28.1872,32.7051,,41.2332,33.4018,37.5358,30.2069,39.1583,36.7692,46.3198,38.5044,41.5867,,50.5284,36.6364,42.3609,39.9461,,,,,46.6067,47.5018,41.0411,34.8017,39.1547,48.0877,31.3458,38.3714,37.9589,39.8269,32.464,51.9084,,50.2021,51.3513,38.2422,35.2706,36.7221,32.9972,34.7381,,,,,,,66.2007,,,40.1293,,,,,,48.5654,,,,,,,,,,,
2002,49.3433,48.2522,51.2392,32.1453,50.9315,51.3877,28.5168,33.0877,28.9615,44.5808,34.4865,35.7878,31.1831,31.4653,31.9866,43.7954,42.5747,40.7863,,37.7508,47.2019,,,45.4373,37.3197,37.8875,31.0014,37.4297,37.9328,,41.404,32.4707,40.7068,48.332,25.6256,35.0106,36.6562,37.4731,36.2862,33.7572,30.9953,40.6381,30.8655,32.1501,46.3076,28.228,,,35.8995,33.3607,30.8019,40.4762,39.6672,42.9817,36.5417,32.3579,35.42,30.8885,42.4929,32.5057,38.3088,31.7346,52.0134,27.7467,39.9496,38.398,53.7951,56.115,38.7065,,51.7931,54.0341,36.4659,52.5091,39.2435,54.0165,,52.1239,50.9371,51.8563,33.2017,46.7299,47.4027,41.9901,49.9845,41.8118,48.4877,42.8438,45.2631,,46.4001,43.7779,47.3126,41.4637,41.8675,29.2444,44.1346,46.225,37.1715,43.4058,46.5256,43.0312,41.723,41.6251,51.7272,38.1166,36.0724,41.0859,49.873,,47.9067,35.9715,39.0473,39.7944,29.6082,37.0671,37.5292,53.0085,37.5926,46.1505,43.7149,44.5263,43.8181,43.4201,40.3312,29.9626,34.9754,52.458,34.5728,38.1371,34.6751,48.5401,36.4269,44.4115,28.561,32.7864,,41.2833,33.663,37.7252,30.2463,39.2158,36.7573,46.2059,38.3306,41.5765,,50.6255,36.6339,42.9372,40.0746,,,,,46.6233,47.5045,41.7735,34.2453,39.1799,48.456,31.3451,38.614,37.5089,40.0594,32.4439,51.7727,,50.3498,51.8188,38.2502,35.2639,36.72,33.1742,34.9715,,,,,,,67.6344,,,39.6204,,,,,,48.5697,,,,,,,,,,,
2003,49.012,48.5647,51.2103,32.0517,50.8645,51.2934,28.7666,32.6952,28.8182,44.7449,34.4675,34.9584,30.9466,31.7066,32.1957,43.4593,,40.5632,,37.2419,46.3531,,,45.1588,,37.4246,30.364,37.0052,37.6146,,43.0862,32.4587,40.1719,48.8566,25.3748,34.6885,36.9643,37.7136,36.2903,34.0539,30.9575,40.7557,30.8555,32.1002,46.3156,27.9052,,,35.5632,33.2363,30.8083,40.4938,39.8249,42.99,36.1671,32.6645,35.4335,31.1927,42.4832,32.5082,38.4036,31.4697,52.0222,27.4715,39.826,38.6601,53.689,55.9669,38.7267,,51.6152,53.9632,36.501,52.576,38.5802,54.1077,,51.9774,50.8041,51.6848,33.1881,46.3734,47.4114,42.0165,49.9941,41.8761,48.478,42.8994,45.2746,,46.3149,43.5445,47.1697,41.1339,41.7187,28.7104,43.9406,45.95,36.6465,43.1587,46.341,42.8081,41.5891,41.4117,51.545,37.541,36.057,40.8838,49.8,,47.4366,36.1457,38.6902,39.6852,29.7241,37.3301,37.8005,52.9474,37.7778,46.0887,43.9086,44.5459,44.0554,43.5711,40.011,29.5118,35.7198,52.4192,34.8118,37.7632,34.9432,48.6227,35.3658,44.3807,28.2085,32.7525,,40.9493,32.8979,37.408,30.0993,39.1952,36.6402,46.0005,,41.4453,,50.4727,36.5216,42.212,39.9604,,,,,46.4429,47.7575,41.3907,35.0173,39.1552,48.0957,31.3619,38.6554,38.0044,40.1486,33.2308,51.9336,41.3084,50.1657,51.8158,38.3191,35.4484,36.8958,33.5372,34.5653,,,37.6284,43.0197,,,66.4852,,,40.1908,,,,,,48.5298,,,,,,,,,,,
2004,49.1374,48.8314,51.2445,32.0124,50.8293,51.2486,28.7249,33.4642,29.2036,44.6,34.3569,35.9115,31.2763,31.5332,32.2933,43.2365,,40.602,,37.1012,47.0132,,,45.4239,,37.3338,,37.2037,37.6384,,41.7393,32.2946,40.9288,49.0029,25.9345,35.187,37.3593,37.2466,36.0676,34.4246,31.0795,40.6493,30.8854,31.837,46.3701,28.4871,,,36.1387,33.2621,30.7145,40.5992,39.7794,43.0435,36.4646,32.9178,35.5006,31.5849,42.5131,33.0231,38.1559,32.0151,51.9608,27.569,40.195,38.1852,53.8322,56.1283,38.9738,,51.7228,54.0791,36.6042,52.6593,38.2098,54.0493,,52.0815,50.9194,51.7852,33.6186,46.6368,47.5873,41.8853,50.2487,41.7806,48.5727,43.0055,45.4541,,46.3383,43.8119,47.3516,40.2516,41.9193,29.1831,44.1887,45.2465,37.1044,43.4286,46.5724,43.0679,42.1712,41.6639,51.6154,38.0308,35.8718,41.9691,49.72,,47.6136,35.9436,39.5129,37.8167,29.8409,37.9426,,52.893,37.5989,43.1829,43.7713,44.4423,43.8357,43.8769,40.6542,29.8442,35.4779,51.6751,34.5243,38.292,35.5498,48.5709,35.761,44.4036,27.9693,32.3712,,41.1055,33.6591,37.7734,30.1933,39.1875,36.7674,46.4815,,41.5736,,50.3726,36.6907,42.3077,39.981,,,,,46.5222,48.3282,41.8073,34.8256,39.1717,48.1809,31.574,38.7905,37.8353,40.0049,32.761,52.1536,41.3589,50.3696,51.0441,38.3849,35.0561,36.9426,33.9344,34.0258,29.9372,39.0845,37.447,43.1341,,,65.8858,,,39.5192,,,,,,48.6005,,,,,,,,,,,
2005,49.5881,48.8552,51.1469,32.0587,51.0343,51.5386,28.8718,33.618,28.9244,45.2551,34.755,35.1114,30.8819,31.7665,32.4203,44.3371,,40.994,,37.991,46.5058,,,45.3111,,38.1131,,36.8636,38.0014,,43.2765,32.4354,40.8443,48.9653,,37.5723,37.1222,37.7701,,34.1816,31.2518,40.7311,30.9111,32.1436,46.3398,,,,39.861,33.3607,,40.5477,39.8143,43.0133,37.935,32.9035,35.4673,31.3494,42.5381,32.8979,38.4084,,52.0652,27.7357,40.1511,38.2467,53.8195,56.1337,38.799,,51.7816,54.037,36.5499,52.6103,38.6035,54.0704,,52.1742,50.9516,51.8469,34.0039,47.0821,47.9782,42.5017,50.5729,42.2347,48.6379,43.3824,45.8493,,46.5106,44.2567,47.6101,40.7648,42.2754,30.264,44.6894,45.6611,37.7425,43.8567,46.96,43.5076,41.7803,42.1642,51.7373,38.7036,36.5195,41.2391,50.1544,,48.1995,35.9281,39.5474,38.133,29.9971,38.2621,,52.986,38.0547,43.516,44.0151,44.4811,44.0045,44.0153,40.8441,29.9293,36.1684,51.8656,34.9217,38.3253,35.7828,48.8457,36.3827,44.3895,29.5354,33.3238,,41.2607,33.7638,37.9295,30.3586,39.2304,36.8791,46.8407,,41.7059,,50.679,36.6688,43.2704,40.1625,37.5606,,,,46.6793,48.6176,42.4913,35.176,39.1536,48.6452,31.3693,38.0543,38.3964,39.9908,33.6119,52.1544,41.5495,50.5994,51.2756,38.4768,35.0596,36.7379,33.6492,35.3813,31.2499,39.3664,38.3204,42.9989,30.4925,35.1252,68.9832,,,40.2253,,,,,,48.663,,,,,29.7733,,,,,,
2006,49.8702,48.4924,51.2162,32.1987,51.0854,51.5742,28.911,33.6196,28.9986,45.3439,34.6012,35.0088,31.1164,31.8636,31.8095,44.4105,,40.3034,,38.0133,46.9108,,,45.5242,,38.1298,,37.1275,38.4231,,43.0423,32.5451,40.4884,48.434,,37.7151,37.622,37.6028,,34.6683,31.1347,40.802,31.0476,32.2106,46.4349,,,,39.9938,33.4095,,40.5709,39.8528,43.107,36.7952,32.5168,35.4821,31.8435,42.6744,33.3837,38.6336,,52.125,27.7166,,37.7399,53.7384,55.9589,38.8205,,51.6599,53.7681,36.6569,52.5824,38.5537,54.1033,,52.8852,50.8009,51.7347,34.5833,47.1317,48.2446,42.4539,50.8996,42.1512,48.8881,43.6114,46.121,,46.7421,44.0468,47.5771,40.5261,42.1517,29.62,46.0468,45.4613,37.033,43.6744,46.8152,43.3175,41.8058,43.0382,51.632,37.8977,36.6893,41.2372,49.9317,,48.1,35.9713,39.5996,37.9708,29.9037,37.9351,,53.0321,38.1927,43.337,44.1444,44.4799,43.9422,44.1464,40.9732,29.9444,36.201,51.7995,35.0255,38.2988,35.6411,48.8429,36.0494,44.3809,29.5644,32.9076,,41.7747,33.7216,37.8559,30.4259,39.2262,36.9447,46.7468,,41.7629,,50.7485,36.6729,43.2358,40.2147,37.7462,48.9672,,,46.7578,48.4573,42.218,35.4647,39.1991,48.2145,31.1787,37.7754,38.01,40.1344,33.276,52.1554,41.6898,50.4944,51.0568,38.4164,35.7032,36.759,34.2018,35.1564,31.0999,39.2023,37.3096,43.2412,30.6741,35.2964,69.0153,,,40.2116,,,,,,48.8093,,,,,30.0762,,,,,,
2007,49.8984,48.9171,51.238,32.7567,50.9387,51.3944,28.7959,33.3777,29.3691,45.1854,34.5221,35.3487,30.9799,31.9013,31.7727,43.7084,,40.5409,,37.6254,47.4293,,,45.6848,,37.8062,,37.7471,37.963,,42.1204,32.552,40.9849,49.8068,,37.6646,37.3879,37.6466,,34.4222,31.5351,40.638,30.9661,32.5732,46.3701,,,,39.9482,33.3363,,40.6702,39.7475,43.0434,38.3557,33.9515,35.5322,31.6158,42.5939,33.102,38.459,,52.1275,27.6755,,38.4803,53.7966,56.1051,38.7975,,51.7709,53.875,36.5909,52.6226,37.5096,54.0056,,52.9507,50.9059,51.8427,35.0753,46.8602,48.4905,43.0548,51.1862,42.5905,48.9429,43.8166,46.373,,46.3888,44.1888,47.6184,41.0413,42.2206,30.441,46.2321,45.8948,37.1213,44.0068,46.9146,43.4947,42.088,43.2501,51.7473,37.9768,36.8918,41.9296,50.0995,,47.8054,36.1687,39.1616,38.0757,29.9564,38.2255,,53.0201,38.5039,43.5548,44.3488,44.5663,44.3072,44.1566,40.4836,30.0986,36.4126,51.8145,35.3175,38.2931,35.7429,48.7887,36.6044,44.4119,30.6585,32.5799,,,33.5414,37.8903,31.2345,39.1714,37.4171,46.7135,,,,50.8734,36.6633,43.8428,40.1612,37.682,49.1122,41.4214,48.5753,46.6896,48.6409,41.8014,36.0525,39.2005,48.4354,31.3548,38.3777,38.2096,40.058,33.3726,52.1707,43.1448,50.5673,51.3122,38.4038,35.3142,36.8528,33.8885,34.8215,30.4991,39.4188,37.714,43.5214,30.6058,35.2365,71.7437,,,39.9964,,,,,,,,,,,29.9373,,,,,,
2008,49.6804,49.1834,51.1959,32.9368,50.9695,51.4215,28.9208,32.8298,29.2481,45.0096,34.6005,35.3485,31.0124,31.9281,32.8419,43.7307,,40.6307,,37.7284,47.3871,,,45.7128,,37.8786,,37.5595,38.0095,,41.0284,32.4266,41.9088,49.292,,37.6888,37.1294,37.7809,,34.1774,31.3497,40.8319,30.9756,32.2856,46.4072,,,,39.9659,33.4152,,40.5285,39.8637,43.0797,37.4894,33.4677,35.4432,31.3542,42.6029,33.2064,38.3936,,52.2539,27.7756,,38.4838,53.759,56.0419,38.7922,,51.7267,53.8373,36.6222,52.6034,38.2617,54.0535,,52.9174,50.86,51.8006,34.6437,46.8054,48.2683,42.8292,50.9346,42.5343,48.7053,43.6352,46.1467,,46.4969,44.2908,47.6724,41.1022,42.327,30.7678,46.2468,45.9404,37.3754,44.0109,47.0137,43.5691,41.8933,43.2748,51.6944,38.2592,36.1276,41.5107,50.0624,,47.9602,35.9585,39.3257,38.3329,29.9029,38.2075,,52.9154,38.4438,43.7556,44.1897,44.4879,44.2796,44.4182,40.6085,29.9634,36.2955,51.8587,35.2737,38.3402,35.7933,48.7536,35.3479,44.4596,29.386,32.6981,,,34.2356,38.1971,31.2077,39.2149,37.4254,47.009,,,,50.6464,36.6531,43.4333,40.0808,37.7038,49.0499,41.4294,48.5365,46.6202,48.6899,41.8591,35.6464,39.1893,48.6781,31.2146,38.1661,38.4123,39.6424,33.9565,52.212,42.7659,50.3183,51.1579,38.4599,34.8776,36.9355,33.5846,34.931,30.6028,39.4509,37.6981,43.2003,30.6202,35.2599,68.8775,,,39.3269,,,,,,,,,,,29.7804,,,,,,
2009,49.7614,49.2545,50.974,32.8616,51.0078,51.5086,29.0016,33.5395,29.1418,45.2744,34.5638,35.2257,31.0106,31.8646,31.0631,44.0078,,40.7219,,37.8619,47.5088,,,45.7754,,37.9915,,37.675,38.0108,,41.3903,32.5698,41.6483,49.4862,,37.704,37.3285,37.4733,,34.3694,31.1739,40.735,30.9474,31.9656,46.3671,,,,39.9792,33.3412,,40.5114,39.7513,43.0402,37.6853,33.6927,35.439,31.5549,42.5755,33.0389,38.3868,,52.106,27.6368,,38.1094,53.7704,56.0316,38.746,,51.7051,53.8181,36.5553,52.6465,37.3225,54.07,,52.8948,50.8536,51.7807,34.5682,46.6861,48.2451,42.8446,50.8935,42.4723,48.7798,43.6016,46.1205,,46.3056,44.2869,47.6546,41.1387,42.3161,30.5564,45.8434,45.9652,37.3634,44.0577,47.0031,43.5785,41.7707,42.9345,51.6658,38.2469,36.7729,41.1684,50.0825,,48.0665,36.0272,39.2027,38.1197,29.9092,38.13,,52.9711,38.3969,43.4584,44.0987,44.4746,44.3293,44.2517,40.4255,30.0415,36.269,51.8319,35.2937,38.2986,35.6357,48.8554,36.221,44.3771,29.2645,32.353,,,33.3303,37.4777,31.304,39.1686,37.4893,46.6878,,,,50.9118,36.6443,43.3998,40.092,37.7255,49.04,41.5098,48.6295,46.8035,48.6463,41.8337,35.5162,39.2185,48.4588,31.3992,38.6466,38.0023,40.0686,33.1241,52.2007,43.2914,50.5308,51.1328,38.4222,35.51,36.8681,33.8461,34.9165,30.8513,39.3575,37.609,43.2475,30.647,35.2776,68.461,,,39.8413,,,,,,,,,,,29.9092,,,,,,
2010,49.79,49.554,51.0917,33.0995,51.0179,51.4921,28.9404,33.8006,29.4457,45.0778,34.3975,35.1786,31.3222,31.7312,32.3027,44.2635,,40.7809,,37.8734,46.3105,,,45.3322,,37.9952,,37.3404,37.9978,,43.044,32.5247,40.6014,48.7318,,37.6809,37.6988,37.657,,34.7375,31.5786,40.5729,30.8144,32.3576,46.1886,,,,39.9639,33.3455,,40.5161,39.7844,42.8642,37.3701,32.8491,35.439,31.9253,42.4422,33.3734,38.4098,,51.7562,27.6949,,37.2841,53.8555,56.0651,38.965,,51.744,53.8466,36.8266,52.7068,37.6764,54.0579,,52.8482,50.8791,51.814,34.5957,46.8869,48.2752,42.8608,50.8972,42.4265,48.6602,43.6558,46.1543,,45.8329,44.9959,48.0156,41.0525,42.806,30.3923,45.8316,45.8887,39.2937,44.4507,47.5657,44.2099,42.3889,42.8938,51.6633,40.4145,36.4181,42.2881,50.114,,48.1938,35.9924,39.7305,37.989,29.891,38.0184,,52.9812,38.1947,43.448,44.0327,44.4308,44.1334,44.2192,40.8262,30.0348,36.2239,51.7592,34.9238,38.3358,35.6453,48.7841,36.1726,44.442,30.3717,33.0199,,,33.8322,38.1106,,39.2291,37.6302,47.0735,,,,50.4734,36.8699,43.988,42.7502,37.7187,49.0695,41.6254,48.6097,46.6998,48.5256,,35.5099,39.2076,48.5975,31.2395,38.8319,38.3867,40.0278,33.7585,52.282,42.9285,50.4822,51.2391,38.5016,35.1985,36.5655,34.2583,34.7952,30.8221,39.2782,39.0522,43.5052,30.6386,35.2616,70.3902,40.8937,31.4391,40.1994,,,,,,,,,,,30.0823,,,,,,
